"zone","area","sub_area","pole","config_id","config_name","longitude","latitude"
"City","Barrio Logan","1000 CESAR CHAVEZ WAY","CC-1003","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat","-117.145178","32.700353"
"City","Barrio Logan","1000 CESAR CHAVEZ WAY","CC-1005","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat","-117.145178","32.700352"
"City","Barrio Logan","1000 CESAR CHAVEZ WAY","CC-1011","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat","-117.145349","32.700155"
"City","Barrio Logan","1000 CESAR CHAVEZ WAY","CC-1013","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat","-117.145405","32.700107"
"City","Barrio Logan","1000 CESAR CHAVEZ WAY","CC-1015","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat","-117.145539","32.699987"
"City","Barrio Logan","1000 CESAR CHAVEZ WAY","CC-1017","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat","-117.14554","32.699985"
"City","Barrio Logan","1000 CESAR CHAVEZ WAY","CC-1019","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat","-117.145545","32.699981"
"City","Barrio Logan","1100 CESAR CHAVEZ WAY","CC-1103","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat","-117.145973","32.699544"
"City","Barrio Logan","1100 CESAR CHAVEZ WAY","CC-1105","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat","-117.145973","32.699545"
"City","Barrio Logan","1100 CESAR CHAVEZ WAY","CC-1107","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat","-117.146065","32.69949"
"City","Barrio Logan","1100 CESAR CHAVEZ WAY","CC-1109","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat","-117.146065","32.699491"
"City","Barrio Logan","1100 CESAR CHAVEZ WAY","CC-1111","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat","-117.145915","32.699629"
"City","Barrio Logan","1100 CESAR CHAVEZ WAY","CC-1115","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat","-117.145978","32.699501"
"City","Barrio Logan","1100 CESAR CHAVEZ WAY","CC-1117","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat","-117.146053","32.699556"
"City","Barrio Logan","1800 MAIN ST","MN-1827","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat","-117.147804","32.699751"
"City","Barrio Logan","1800 MAIN ST","MN-1829","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat","-117.147282","32.699391"
"City","Barrio Logan","2800 MAIN ST","MN-2808","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat","-117.133469","32.692883"
"City","Barrio Logan","2800 MAIN ST","MN-2812","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat","-117.133316","32.692886"
"City","Barrio Logan","2800 MAIN ST","MN-2814","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat","-117.133124","32.69289"
"City","Barrio Logan","2800 MAIN ST","MN-2816","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat","-117.132968","32.692891"
"City","Barrio Logan","2800 MAIN ST","MN-2824","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat","-117.132815","32.692891"
"City","Barrio Logan","2800 MAIN ST","MN-2826","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat","-117.132661","32.692892"
"City","Barrio Logan","2800 MAIN ST","MN-2828","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat","-117.132508","32.692892"
"City","Barrio Logan","2800 MAIN ST","MN-2830","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat","-117.132354","32.692892"
"City","Barrio Logan","2800 MAIN ST","MN-2838","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat","-117.132162","32.692892"
"City","Barrio Logan","2800 MAIN ST","MN-2840","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat","-117.132009","32.692892"
"City","Barrio Logan","2800 MAIN ST","MN-2842","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat","-117.131855","32.692893"
"City","Barrio Logan","1700 NATIONAL AVE","NL-1701","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat","-117.148149","32.702693"
"City","Barrio Logan","1700 NATIONAL AVE","NL-1703","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat","-117.147903","32.702524"
"City","Barrio Logan","1700 NATIONAL AVE","NL-1711","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat","-117.147627","32.702333"
"City","Barrio Logan","1700 NATIONAL AVE","NL-1713","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat","-117.147382","32.702164"
"City","Barrio Logan","1700 NATIONAL AVE","NL-1749","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat","-117.147137","32.701994"
"City","Barrio Logan","1700 NATIONAL AVE","NL-1751","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat","-117.146234","32.701368"
"City","Barrio Logan","2900 NATIONAL AVE","NL-2928","8999","1 Hour Max $1.25 HR 8am-6pm Mon-Sat","-117.130042","32.696027"
"City","Midtown","2700 KETTNER BLVD","KT-2700","12494","2 Hour Max $1.25 HR 8am-6pm Mon-Sat (Mobile Pay)","-117.172983","32.732113"
"City","Midtown","2700 KETTNER BLVD","KT-2702","12494","2 Hour Max $1.25 HR 8am-6pm Mon-Sat (Mobile Pay)","-117.173028","32.732216"
"City","Midtown","2700 KETTNER BLVD","KT-2704","12494","2 Hour Max $1.25 HR 8am-6pm Mon-Sat (Mobile Pay)","-117.173073","32.73232"
"City","Midtown","2700 KETTNER BLVD","KT-2706","12494","2 Hour Max $1.25 HR 8am-6pm Mon-Sat (Mobile Pay)","-117.173124","32.732438"
"City","Midtown","2700 KETTNER BLVD","KT-2708","12494","2 Hour Max $1.25 HR 8am-6pm Mon-Sat (Mobile Pay)","-117.173168","32.732538"
"City","Midtown","2700 KETTNER BLVD","KT-2710","12494","2 Hour Max $1.25 HR 8am-6pm Mon-Sat (Mobile Pay)","-117.173218","32.732636"
"City","Midtown","2800 KETTNER BLVD","KT-2810","12494","2 Hour Max $1.25 HR 8am-6pm Mon-Sat (Mobile Pay)","-117.173579","32.733112"
"City","Midtown","2900 PACIFIC HIGHWAY","P-2908","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat","-117.175529","32.732736"
"City","Midtown","2900 PACIFIC HIGHWAY","P-2910","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat","-117.175601","32.732818"
"City","Midtown","2900 PACIFIC HIGHWAY","P-2912","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat","-117.175691","32.73292"
"City","Midtown","2900 PACIFIC HIGHWAY","P-2914","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat","-117.175763","32.733003"
"City","Midtown","2900 PACIFIC HIGHWAY","P-2916","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat","-117.175854","32.733105"
"City","Midtown","2900 PACIFIC HIGHWAY","P-2918","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat","-117.175926","32.733187"
"City","Midtown","2900 PACIFIC HIGHWAY","P-2920","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat","-117.176016","32.73329"
"City","Midtown","2900 PACIFIC HIGHWAY","P-2922","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat","-117.176088","32.733372"
"City","Midtown","2900 PACIFIC HIGHWAY","P-2924","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat","-117.176178","32.733474"
"City","Midtown","2900 PACIFIC HIGHWAY","P-2926","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat","-117.17625","32.733556"
"City","Mission Beach","800 WEST MISSION BAY DR","WMB-826","9116","30 Min Max $1.25 HR 8am-6pm Mon-Sat","-117.250691","32.772103"
"City","Mission Beach","800 WEST MISSION BAY DR","WMB-828","9116","30 Min Max $1.25 HR 8am-6pm Mon-Sat","-117.250206","32.772115"
"City","Mission Beach","800 WEST MISSION BAY DR","WMB-838","9116","30 Min Max $1.25 HR 8am-6pm Mon-Sat","-117.249852","32.772123"
"City","Mission Beach","800 WEST MISSION BAY DR","WMB-840","9116","30 Min Max $1.25 HR 8am-6pm Mon-Sat","-117.249702","32.772126"
"City","Mission Hills","3800 PACIFIC HIGHWAY","P-3801","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat","-117.18608","32.74137"
"City","Mission Hills","3800 PACIFIC HIGHWAY","P-3803","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat","-117.186292","32.741456"
"City","Mission Hills","3800 PACIFIC HIGHWAY","P-3805","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat","-117.186504","32.741543"
"City","Mission Hills","3800 PACIFIC HIGHWAY","P-3811","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat","-117.186869","32.74169"
"City","Mission Hills","3800 PACIFIC HIGHWAY","P-3813","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat","-117.186921","32.74171"
"City","Mission Hills","3800 PACIFIC HIGHWAY","P-3815","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat","-117.186974","32.74173"
"City","Mission Hills","3800 PACIFIC HIGHWAY","P-3821","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat","-117.187026","32.741751"
"City","Mission Hills","3400 SUTHERLAND ST","SU-3409","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat","-117.186253","32.741676"
"City","Mission Hills","3400 SUTHERLAND ST","SU-3411","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat","-117.186204","32.741749"
"City","Mission Hills","3400 SUTHERLAND ST","SU-3415","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat","-117.186159","32.741817"
"City","Point Loma","2900 AVENIDA DE PORTUGAL","ADN-2912","9116","30 Min Max $1.25 HR 8am-6pm Mon-Sat","-117.230904","32.72167"
"City","Point Loma","2900 AVENIDA DE PORTUGAL","ADN-2914","9116","30 Min Max $1.25 HR 8am-6pm Mon-Sat","-117.230913","32.721575"
"City","Point Loma","2700 SHELTER ISLAND DR","S-2707","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat","-117.228565","32.721025"
"City","Point Loma","2700 SHELTER ISLAND DR","S-2712","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat","-117.22853","32.721192"
"City","Point Loma","2700 SHELTER ISLAND DR","S-2713","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat","-117.228706","32.72111"
"City","Point Loma","2700 SHELTER ISLAND DR","S-2714","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat","-117.228681","32.721284"
"City","Point Loma","2700 SHELTER ISLAND DR","S-2717","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat","-117.228847","32.721195"
"City","Point Loma","2700 SHELTER ISLAND DR","S-2720","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat","-117.228823","32.721369"
"Downtown","Core - Columbia","1000 FIRST AVE","1-1004","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat","-117.163929","32.715904"
"Downtown","Core - Columbia","1000 FIRST AVE","1-1006","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat","-117.16393","32.716037"
"Downtown","Core - Columbia","1000 FIRST AVE","1-1008","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat","-117.163931","32.716169"
"Downtown","Core - Columbia","1000 FIRST AVE","1-1020","9115","15 Min Max $1.25 HR 8am-6pm Mon-Sat","-117.161278","32.71789"
"Downtown","Core - Columbia","1300 FIRST AVE","1-1310","12466","2 Hour Max $1.25 HR 8am-4pm Mon-Fri 8am-6pm Sat","-117.163951","32.719024"
"Downtown","Core - Columbia","1300 FIRST AVE","1-1312","12466","2 Hour Max $1.25 HR 8am-4pm Mon-Fri 8am-6pm Sat","-117.163952","32.719161"
"Downtown","Core - Columbia","1300 FIRST AVE","1-1313","12466","2 Hour Max $1.25 HR 8am-4pm Mon-Fri 8am-6pm Sat","-117.16377","32.719298"
"Downtown","Core - Columbia","1300 FIRST AVE","1-1314","12466","2 Hour Max $1.25 HR 8am-4pm Mon-Fri 8am-6pm Sat","-117.163953","32.719453"
"Downtown","Core - Columbia","1300 FIRST AVE","1-1315","12466","2 Hour Max $1.25 HR 8am-4pm Mon-Fri 8am-6pm Sat","-117.163772","32.719571"
"Downtown","Core - Columbia","1300 FIRST AVE","1-1317","12466","2 Hour Max $1.25 HR 8am-4pm Mon-Fri 8am-6pm Sat","-117.163772","32.719707"
"Downtown","Core - Columbia","1300 SECOND AVE","2-1303","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat","-117.162852","32.718951"
"Downtown","Core - Columbia","1300 SECOND AVE","2-1305","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat","-117.162853","32.719029"
"Downtown","Core - Columbia","1300 SECOND AVE","2-1307","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat","-117.162853","32.719088"
"Downtown","Core - Columbia","1300 SECOND AVE","2-1309","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat","-117.162854","32.719166"
"Downtown","Core - Columbia","1300 SECOND AVE","2-1311","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat","-117.162854","32.719224"
"Downtown","Core - Columbia","1300 SECOND AVE","2-1313","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat","-117.15411","32.714712"
"Downtown","Core - Columbia","1300 SECOND AVE","2-1315","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat","-117.162856","32.71938"
"Downtown","Core - Columbia","1300 SECOND AVE","2-1316","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat","-117.163038","32.719457"
"Downtown","Core - Columbia","1300 SECOND AVE","2-1317","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat","-117.162857","32.719516"
"Downtown","Core - Columbia","1300 SECOND AVE","2-1318","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat","-117.163039","32.719593"
"Downtown","Core - Columbia","1300 SECOND AVE","2-1320","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat","-117.16304","32.719652"
"Downtown","Core - Columbia","1300 SECOND AVE","2-1322","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat","-117.16304","32.71973"
"Downtown","Core - Columbia","1300 SECOND AVE","2-1323","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat","-117.162859","32.719789"
"Downtown","Core - Columbia","1000 THIRD AVE","3-1001","9116","30 Min Max $1.25 HR 8am-6pm Mon-Sat","-117.161914","32.715859"
"Downtown","Core - Columbia","1000 THIRD AVE","3-1003","9116","30 Min Max $1.25 HR 8am-6pm Mon-Sat","-117.161917","32.715975"
"Downtown","Core - Columbia","1000 THIRD AVE","3-1005","9116","30 Min Max $1.25 HR 8am-6pm Mon-Sat","-117.16192","32.716071"
"Downtown","Core - Columbia","1000 THIRD AVE","3-1007","9116","30 Min Max $1.25 HR 8am-6pm Mon-Sat","-117.161924","32.716187"
"Downtown","Core - Columbia","1000 THIRD AVE","3-1014","9116","30 Min Max $1.25 HR 8am-6pm Mon-Sat","-117.16211","32.716299"
"Downtown","Core - Columbia","1000 THIRD AVE","3-1016","9116","30 Min Max $1.25 HR 8am-6pm Mon-Sat","-117.162113","32.716396"
